iter	Passed	Remaining
0	59	59231
1	59	29734
2	59	19904
3	60	14990
4	60	12034
5	60	10066
6	61	8661
7	61	7613
8	61	6790
9	61	6133
10	62	5593
11	62	5146
12	62	4765
13	63	4439
14	63	4157
15	63	3912
16	63	3694
17	64	3499
18	64	3325
19	64	3171
20	64	3029
21	65	2901
22	65	2786
23	65	2678
24	66	2580
25	66	2488
26	66	2403
27	66	2324
28	67	2250
29	67	2180
30	67	2118
31	68	2057
32	68	2000
33	68	1946
34	68	1895
35	68	1847
36	69	1801
37	69	1758
38	69	1717
39	69	1678
40	70	1641
41	70	1605
42	70	1572
43	70	1540
44	71	1510
45	71	1481
46	71	1452
47	71	1425
48	72	1399
49	72	1374
50	72	1351
51	72	1328
52	73	1305
53	73	1284
54	73	1263
55	73	1243
56	74	1224
57	74	1206
58	74	1188
59	74	1171
60	74	1154
61	75	1138
62	75	1124
63	75	1109
64	76	1094
65	76	1080
66	76	1066
67	76	1051
68	76	1037
69	77	1025
70	77	1012
71	77	1000
72	77	988
73	78	977
74	78	966
75	78	955
76	78	944
77	79	934
78	79	924
79	79	914
80	79	904
81	79	895
82	80	886
83	80	877
84	80	867
85	80	858
86	80	848
87	81	840
88	81	832
89	81	824
90	81	817
91	82	809
92	82	802
93	82	795
94	82	788
95	82	781
96	83	774
97	83	767
98	83	761
99	83	755
100	84	749
101	84	741
102	84	736
103	84	730
104	84	724
105	85	718
106	85	713
107	85	707
108	85	702
109	86	697
110	86	692
111	86	687
112	86	682
113	87	677
114	87	672
115	87	667
116	87	662
117	88	658
118	88	653
119	88	648
120	88	644
121	88	640
122	89	634
123	89	630
124	89	627
125	89	623
126	90	619
127	90	615
128	90	611
129	90	607
130	91	604
131	91	600
132	91	596
133	91	593
134	92	589
135	92	586
136	92	583
137	92	579
138	92	575
139	93	572
140	93	569
141	93	566
142	94	563
143	94	560
144	94	557
145	94	553
146	94	550
147	95	547
148	95	544
149	95	541
150	95	538
151	96	535
152	96	533
153	96	530
154	96	527
155	96	524
156	97	522
157	97	519
158	97	517
159	98	514
160	98	511
161	98	509
162	98	506
163	98	504
164	99	502
165	99	499
166	99	496
167	99	494
168	100	492
169	100	489
170	100	487
171	100	485
172	101	483
173	101	481
174	101	478
175	101	476
176	102	474
177	102	472
178	102	470
179	102	468
180	102	465
181	103	463
182	103	461
183	103	459
184	103	457
185	104	455
186	104	453
187	104	451
188	104	449
189	104	447
190	105	445
191	105	443
192	105	441
193	105	439
194	106	437
195	106	436
196	106	434
197	106	432
198	106	430
199	107	428
200	107	426
201	107	425
202	107	423
203	108	421
204	108	419
205	108	418
206	108	416
207	108	414
208	109	413
209	109	411
210	109	409
211	109	408
212	110	406
213	110	404
214	110	403
215	110	402
216	110	400
217	111	398
218	111	397
219	111	395
220	111	394
221	112	393
222	112	391
223	112	390
224	112	388
225	113	387
226	113	385
227	113	384
228	113	382
229	113	381
230	114	380
231	114	378
232	114	377
233	114	376
234	115	374
235	115	373
236	115	372
237	115	370
238	116	369
239	116	368
240	116	367
241	116	365
242	117	364
243	117	363
244	117	362
245	117	360
246	117	359
247	118	358
248	118	357
249	118	355
250	118	354
251	119	353
252	119	352
253	119	351
254	119	350
255	120	349
256	120	348
257	120	346
258	120	345
259	121	344
260	121	343
261	121	342
262	121	341
263	122	340
264	122	339
265	122	338
266	122	336
267	122	335
268	123	334
269	123	333
270	123	332
271	123	331
272	124	330
273	124	329
274	124	328
275	124	327
276	125	326
277	125	325
278	125	324
279	125	323
280	126	322
281	126	321
282	126	320
283	133	336
284	133	335
285	134	334
286	134	335
287	136	336
288	136	337
289	137	337
290	140	342
291	141	342
292	141	341
293	142	342
294	143	341
295	143	341
296	143	340
