iter	Passed	Remaining
0	3	3836
1	4	2070
2	4	1465
3	4	1161
4	4	973
5	5	848
6	5	759
7	5	691
8	5	640
9	6	597
10	6	565
11	6	538
12	6	514
13	7	494
14	7	475
15	7	458
16	7	443
17	7	431
18	8	419
19	8	408
20	8	400
21	8	393
22	9	385
23	9	377
24	9	371
25	9	365
26	9	359
27	10	353
28	10	348
29	10	343
30	10	339
31	11	335
32	11	332
33	11	329
34	11	326
35	12	322
36	12	319
37	12	317
38	12	314
39	13	312
40	13	310
41	13	308
42	13	307
43	14	305
44	14	303
45	14	300
46	14	298
47	14	296
48	15	294
49	15	292
50	15	291
51	15	289
52	16	287
53	16	286
54	16	284
55	16	283
56	17	282
57	17	282
58	17	280
59	17	279
60	18	278
61	18	277
62	18	276
63	18	276
64	19	275
65	19	274
66	19	273
67	19	272
68	20	271
69	20	272
70	20	271
71	21	271
72	21	270
73	21	269
74	21	268
75	22	268
76	22	267
77	22	266
78	22	265
79	23	264
80	23	263
81	23	265
82	23	263
83	24	262
84	24	262
85	24	261
86	24	260
87	25	260
88	25	259
89	25	258
90	25	257
91	26	257
92	26	256
93	26	256
94	26	255
95	27	256
96	27	255
97	27	255
98	28	255
99	28	254
100	28	254
101	28	253
102	29	253
103	29	252
104	29	251
105	29	251
106	30	250
107	30	249
108	30	249
109	30	248
110	30	248
111	31	248
112	31	247
113	31	247
114	32	246
115	32	246
116	32	245
117	32	245
118	33	244
119	33	243
120	33	243
121	33	242
122	34	242
123	34	242
124	34	242
125	34	242
126	35	241
127	35	240
128	35	240
129	35	239
130	36	239
131	36	239
132	37	241
133	37	241
134	37	241
135	37	240
136	38	240
137	38	239
138	38	239
139	38	238
140	39	238
141	39	237
142	39	236
143	39	236
144	40	235
145	40	235
146	40	234
147	40	234
148	40	233
149	41	233
150	41	233
151	41	232
152	41	232
153	42	231
154	42	231
155	42	230
156	42	230
157	43	230
158	43	229
159	43	229
160	43	228
161	44	228
162	44	227
163	44	227
164	44	226
165	45	226
166	45	226
167	45	225
168	45	225
169	46	225
170	46	224
171	46	224
172	46	223
173	47	223
174	47	223
175	47	222
176	47	222
177	48	222
178	48	222
179	48	222
180	49	221
181	49	221
182	49	220
183	49	220
184	49	220
185	50	219
186	50	219
187	50	219
188	51	218
189	51	218
190	51	218
191	51	218
192	52	217
193	52	217
194	52	217
195	52	216
196	53	216
197	53	216
198	53	215
199	53	215
200	54	214
201	54	214
202	54	214
203	54	213
204	55	213
205	55	213
206	55	212
207	55	212
208	56	212
209	56	211
210	56	211
211	56	211
212	57	210
213	57	210
214	57	210
215	57	209
216	58	209
217	58	209
218	58	209
219	58	208
220	59	208
221	59	208
222	59	207
223	59	207
224	60	207
225	60	206
226	60	206
227	60	206
228	61	206
229	61	205
230	61	205
231	61	204
232	62	204
233	62	204
234	62	203
235	62	203
236	63	203
237	63	202
238	63	202
239	64	202
240	64	202
241	64	202
242	64	201
243	65	201
244	65	201
245	65	201
246	65	200
247	66	200
248	66	200
249	66	199
250	66	199
251	67	199
252	67	198
253	67	198
254	67	198
255	68	197
256	68	197
257	68	197
258	68	196
259	69	196
260	69	196
261	69	196
262	69	195
263	70	195
264	70	195
265	70	194
266	70	194
267	71	194
268	71	193
269	71	193
270	71	193
271	72	193
272	72	192
273	72	192
274	72	191
275	73	191
276	73	191
277	73	191
278	73	190
279	74	190
280	74	190
281	74	190
282	74	189
283	75	189
284	75	189
285	75	188
286	75	188
287	76	188
288	76	187
289	76	187
290	76	187
291	77	187
292	77	186
293	77	186
294	77	186
295	78	185
296	78	185
297	78	185
298	78	185
299	79	184
300	79	184
301	79	184
302	80	184
303	80	183
304	80	183
305	80	183
306	81	183
307	81	182
308	81	182
309	81	182
310	82	182
311	82	181
312	82	181
313	82	181
314	83	180
315	83	180
316	83	180
317	83	179
318	84	179
319	84	179
320	84	178
321	84	178
322	85	178
323	85	178
324	85	177
325	85	177
326	86	177
327	86	176
328	86	176
329	86	176
330	87	176
331	87	175
332	87	175
333	87	175
334	88	174
335	88	174
336	88	174
337	88	173
338	89	173
339	89	173
340	89	173
341	89	172
342	90	172
343	90	172
344	90	171
345	90	171
346	91	171
347	91	171
348	91	170
349	91	170
350	92	170
351	92	169
352	92	169
353	92	169
354	93	169
355	93	168
356	93	168
357	93	168
358	94	167
359	94	167
360	94	167
361	94	167
362	95	166
363	95	166
364	95	166
365	95	166
366	96	165
367	96	165
368	96	165
369	96	164
370	97	164
371	97	164
372	97	164
373	98	164
374	98	163
375	98	163
376	98	163
377	98	162
378	99	162
379	99	162
380	99	162
381	100	161
382	100	161
383	100	161
384	100	160
385	100	160
386	101	160
387	101	160
388	101	159
389	102	159
390	102	159
391	102	158
392	102	158
393	102	158
394	103	158
395	103	157
396	103	157
